Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Choco, Colombia;;may-22;586;138;N/A;cellular;mean;138;107;10842;8192;10.84;8.19
All Providers Combined;Cordoba, Colombia;;may-22;2064;528;N/A;cellular;mean;528;60;17449;10668;17.45;10.67
All Providers Combined;Cundinamarca, Colombia;;may-22;8170;3157;N/A;cellular;mean;3157;43;14712;9505;14.71;9.51
All Providers Combined;Guainia, Colombia;;may-22;44;11;N/A;cellular;mean;11;286;2869;4187;2.87;4.19
All Providers Combined;Huila, Colombia;;may-22;1535;539;N/A;cellular;mean;539;53;16423;8990;16.42;8.99
All Providers Combined;La Guajira, Colombia;;may-22;1325;310;N/A;cellular;mean;310;52;15720;10448;15.72;10.45
All Providers Combined;Magdalena, Colombia;;may-22;1620;598;N/A;cellular;mean;598;45;22059;11782;22.06;11.78
All Providers Combined;Meta, Colombia;;may-22;1939;727;N/A;cellular;mean;727;46;14959;10142;14.96;10.14
All Providers Combined;Narino, Colombia;;may-22;1669;477;N/A;cellular;mean;477;82;16401;10422;16.40;10.42
All Providers Combined;North Santander, Colombia;;may-22;2606;799;N/A;cellular;mean;799;58;14612;10227;14.61;10.23
All Providers Combined;Putumayo, Colombia;;may-22;608;125;N/A;cellular;mean;125;90;11480;7438;11.48;7.44
All Providers Combined;Quindio, Colombia;;may-22;1122;406;N/A;cellular;mean;406;57;19193;10024;19.19;10.02
All Providers Combined;Risaralda, Colombia;;may-22;2112;728;N/A;cellular;mean;728;53;18324;10490;18.32;10.49
All Providers Combined;San Andrés and Providencia, Colombia;;may-22;947;228;N/A;cellular;mean;228;100;20082;9337;20.08;9.34
All Providers Combined;Santander Department, Colombia;;may-22;6499;1741;N/A;cellular;mean;1741;57;16710;10125;16.71;10.13
All Providers Combined;Sucre, Colombia;;may-22;1243;355;N/A;cellular;mean;355;62;17314;10639;17.31;10.64
