Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Santander Department, Colombia;;nov-20;190154;45418;all;N/A;median;45418;26;29954;6317;29.95;6.32
All Providers Combined;Sucre, Colombia;;nov-20;12550;3400;all;N/A;median;3400;31;14105;4984;14.11;4.98
All Providers Combined;Tolima, Colombia;;nov-20;42642;11732;all;N/A;median;11732;26;18646;6044;18.65;6.04
All Providers Combined;Valle del Cauca, Colombia;;nov-20;243659;67434;all;N/A;median;67434;22;27701;6723;27.70;6.72
All Providers Combined;Vichada, Colombia;;nov-20;20;10;all;N/A;median;10;54;2434;786;2.43;0.79
All Providers Combined;Guaviare, Colombia;;nov-20;604;131;all;N/A;median;131;20;7342;6858;7.34;6.86
All Providers Combined;Amazonas, Colombia;;Dec 2020;5;4;all;N/A;median;4;72;313;387;0.31;0.39
All Providers Combined;Antioquia, Colombia;;Dec 2020;322837;91518;all;N/A;median;91518;17;29682;5964;29.68;5.96
All Providers Combined;Arauca, Colombia;;Dec 2020;1426;371;all;N/A;median;371;36;6752;3395;6.75;3.40
All Providers Combined;Atlantico, Colombia;;Dec 2020;98684;28061;all;N/A;median;28061;25;27636;6042;27.64;6.04
All Providers Combined;Bogota, Colombia;;Dec 2020;788520;228759;all;N/A;median;228759;12;35458;8703;35.46;8.70
All Providers Combined;Bolivar, Colombia;;Dec 2020;47414;13153;all;N/A;median;13153;24;25545;5345;25.55;5.35
All Providers Combined;Boyaca, Colombia;;Dec 2020;33394;8817;all;N/A;median;8817;19;13230;5504;13.23;5.50
All Providers Combined;Caldas, Colombia;;Dec 2020;40833;9965;all;N/A;median;9965;21;26224;5606;26.22;5.61
All Providers Combined;Caquetá, Colombia;;Dec 2020;5458;1368;all;N/A;median;1368;33;16304;6553;16.30;6.55
All Providers Combined;Casanare, Colombia;;Dec 2020;9745;2645;all;N/A;median;2645;19;18020;6117;18.02;6.12
All Providers Combined;Cauca Department, Colombia;;Dec 2020;31954;8830;all;N/A;median;8830;29;15828;6205;15.83;6.21
All Providers Combined;Cesar, Colombia;;Dec 2020;22692;5931;all;N/A;median;5931;32;20659;5769;20.66;5.77
All Providers Combined;Choco, Colombia;;Dec 2020;2650;564;all;N/A;median;564;42;5243;900;5.24;0.90
All Providers Combined;Cordoba, Colombia;;Dec 2020;27112;7063;all;N/A;median;7063;31;15522;5213;15.52;5.21
All Providers Combined;Cundinamarca, Colombia;;Dec 2020;149686;42630;all;N/A;median;42630;14;26820;6658;26.82;6.66
All Providers Combined;Guainia, Colombia;;Dec 2020;14;6;all;N/A;median;6;80;3355;3260;3.36;3.26
All Providers Combined;Huila, Colombia;;Dec 2020;40365;10815;all;N/A;median;10815;28;10848;5753;10.85;5.75
All Providers Combined;La Guajira, Colombia;;Dec 2020;5538;1688;all;N/A;median;1688;39;16439;6474;16.44;6.47
All Providers Combined;Magdalena, Colombia;;Dec 2020;43346;13283;all;N/A;median;13283;27;24792;6437;24.79;6.44
All Providers Combined;Meta, Colombia;;Dec 2020;30372;7999;all;N/A;median;7999;16;24148;6517;24.15;6.52
All Providers Combined;Narino, Colombia;;Dec 2020;29798;7914;all;N/A;median;7914;32;18419;6514;18.42;6.51
All Providers Combined;North Santander, Colombia;;Dec 2020;44454;12227;all;N/A;median;12227;39;20005;6436;20.01;6.44
All Providers Combined;Putumayo, Colombia;;Dec 2020;4737;1007;all;N/A;median;1007;29;7952;8716;7.95;8.72
All Providers Combined;Quindio, Colombia;;Dec 2020;19809;5556;all;N/A;median;5556;28;23735;5322;23.74;5.32
All Providers Combined;Risaralda, Colombia;;Dec 2020;66465;17820;all;N/A;median;17820;25;22932;5381;22.93;5.38
All Providers Combined;San Andrés and Providencia, Colombia;;Dec 2020;395;121;all;N/A;median;121;92;1825;1818;1.83;1.82
All Providers Combined;Santander Department, Colombia;;Dec 2020;156388;37642;all;N/A;median;37642;26;31341;6545;31.34;6.55
All Providers Combined;Sucre, Colombia;;Dec 2020;8185;2526;all;N/A;median;2526;28;17182;5187;17.18;5.19
All Providers Combined;Tolima, Colombia;;Dec 2020;36203;10633;all;N/A;median;10633;25;19408;6485;19.41;6.49
All Providers Combined;Valle del Cauca, Colombia;;Dec 2020;228699;62145;all;N/A;median;62145;21;28612;7306;28.61;7.31
All Providers Combined;Vaupes, Colombia;;Dec 2020;1;1;all;N/A;median;1;0;53492;27995;53.49;28.00
All Providers Combined;Vichada, Colombia;;Dec 2020;4;2;all;N/A;median;2;69;874;1435;0.87;1.44
All Providers Combined;Guaviare, Colombia;;Dec 2020;505;109;all;N/A;median;109;19;7823;6407;7.82;6.41
All Providers Combined;Amazonas, Colombia;;Jan 2021;7;4;all;N/A;median;4;89;277;262;0.28;0.26
All Providers Combined;Antioquia, Colombia;;Jan 2021;399280;108809;all;N/A;median;108809;19;30323;5890;30.32;5.89
All Providers Combined;Arauca, Colombia;;Jan 2021;1705;454;all;N/A;median;454;31;6011;3632;6.01;3.63
All Providers Combined;Atlantico, Colombia;;Jan 2021;106184;31017;all;N/A;median;31017;22;27367;6226;27.37;6.23
All Providers Combined;Bogota, Colombia;;Jan 2021;1071329;293429;all;N/A;median;293429;12;36509;7579;36.51;7.58
