Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
Claro;Narino, Colombia;;mar-18;8255;3920;all;N/A;median;2236;66;5247;1247;5.25;1.25
Claro;Putumayo, Colombia;;mar-18;8;8;all;N/A;median;7;74;4110;1768;4.11;1.77
Claro;Quindio, Colombia;;mar-18;4772;2395;all;N/A;median;1370;47;7340;1915;7.34;1.92
Claro;Risaralda, Colombia;;mar-18;11726;5508;all;N/A;median;2832;47;8134;2074;8.13;2.07
Claro;San Andrés and Providencia, Colombia;;mar-18;41;18;all;N/A;median;6;157;1470;834;1.47;0.83
Claro;Santander Department, Colombia;;mar-18;19712;9891;all;N/A;median;5559;41;8629;2015;8.63;2.02
Claro;Sucre, Colombia;;mar-18;941;529;all;N/A;median;357;26;7283;2056;7.28;2.06
Claro;Tolima, Colombia;;mar-18;10012;4895;all;N/A;median;2692;18;5446;1512;5.45;1.51
Claro;Valle del Cauca, Colombia;;mar-18;79386;37578;all;N/A;median;19822;57;7785;2011;7.79;2.01
Claro;Guaviare, Colombia;;mar-18;16;7;all;N/A;median;2;18;18376;26446;18.38;26.45
ETB;Antioquia, Colombia;;mar-18;876;465;all;N/A;median;329;24;5799;2761;5.80;2.76
ETB;Atlantico, Colombia;;mar-18;193;85;all;N/A;median;59;47;2891;3697;2.89;3.70
ETB;Bogota, Colombia;;mar-18;134960;76203;all;N/A;median;43033;10;12334;7457;12.33;7.46
ETB;Bolivar, Colombia;;mar-18;6;5;all;N/A;median;5;55;2238;495;2.24;0.50
ETB;Boyaca, Colombia;;mar-18;466;116;all;N/A;median;67;23;8450;7712;8.45;7.71
ETB;Caldas, Colombia;;mar-18;43;29;all;N/A;median;9;66;8248;2314;8.25;2.31
ETB;Cauca Department, Colombia;;mar-18;6;5;all;N/A;median;3;128;2853;860;2.85;0.86
ETB;Cesar, Colombia;;mar-18;22;9;all;N/A;median;8;46;1336;909;1.34;0.91
ETB;Cordoba, Colombia;;mar-18;101;40;all;N/A;median;8;40;4767;6494;4.77;6.49
ETB;Cundinamarca, Colombia;;mar-18;15360;8476;all;N/A;median;5804;16;10335;5737;10.34;5.74
ETB;Huila, Colombia;;mar-18;194;82;all;N/A;median;49;20;4453;3339;4.45;3.34
ETB;La Guajira, Colombia;;mar-18;2;2;all;N/A;median;2;53;9054;8612;9.05;8.61
ETB;Magdalena, Colombia;;mar-18;63;37;all;N/A;median;21;45;5656;3814;5.66;3.81
ETB;Meta, Colombia;;mar-18;2878;1359;all;N/A;median;594;37;3829;1030;3.83;1.03
ETB;Quindio, Colombia;;mar-18;29;17;all;N/A;median;11;107;2748;4976;2.75;4.98
ETB;Risaralda, Colombia;;mar-18;210;94;all;N/A;median;41;52;2714;2922;2.71;2.92
ETB;Santander Department, Colombia;;mar-18;890;429;all;N/A;median;230;23;3944;1023;3.94;1.02
ETB;Tolima, Colombia;;mar-18;301;112;all;N/A;median;93;28;5121;5586;5.12;5.59
ETB;Valle del Cauca, Colombia;;mar-18;41;31;all;N/A;median;23;35;2138;2796;2.14;2.80
ETB;Guaviare, Colombia;;mar-18;3;2;all;N/A;median;1;34;2546;423;2.55;0.42
Movistar;Antioquia, Colombia;;Apr 2018;1834;1138;all;N/A;median;933;38;7938;1091;7.94;1.09
Movistar;Atlantico, Colombia;;Apr 2018;1540;1007;all;N/A;median;593;63;5345;865;5.35;0.87
Movistar;Bogota, Colombia;;Apr 2018;35785;21520;all;N/A;median;11177;31;6657;888;6.66;0.89
Movistar;Bolivar, Colombia;;Apr 2018;4035;2351;all;N/A;median;1117;62;7726;973;7.73;0.97
Movistar;Boyaca, Colombia;;Apr 2018;2955;1842;all;N/A;median;671;37;4663;949;4.66;0.95
Movistar;Caldas, Colombia;;Apr 2018;579;404;all;N/A;median;157;36;5133;913;5.13;0.91
Movistar;Caquetá, Colombia;;Apr 2018;1004;667;all;N/A;median;177;49;4296;803;4.30;0.80
Movistar;Casanare, Colombia;;Apr 2018;527;350;all;N/A;median;98;42;5063;837;5.06;0.84
Movistar;Cauca Department, Colombia;;Apr 2018;1636;912;all;N/A;median;578;44;4647;779;4.65;0.78
Movistar;Cesar, Colombia;;Apr 2018;1191;826;all;N/A;median;261;65;5467;902;5.47;0.90
Movistar;Choco, Colombia;;Apr 2018;579;423;all;N/A;median;139;52;4823;834;4.82;0.83
Movistar;Cordoba, Colombia;;Apr 2018;2499;1373;all;N/A;median;550;62;5172;839;5.17;0.84
Movistar;Cundinamarca, Colombia;;Apr 2018;28636;16880;all;N/A;median;10077;33;5403;815;5.40;0.82
Movistar;Huila, Colombia;;Apr 2018;3318;1758;all;N/A;median;728;43;4848;922;4.85;0.92
Movistar;La Guajira, Colombia;;Apr 2018;658;463;all;N/A;median;163;69;4639;835;4.64;0.84
Movistar;Magdalena, Colombia;;Apr 2018;3493;2239;all;N/A;median;1103;65;5482;888;5.48;0.89
Movistar;Meta, Colombia;;Apr 2018;3303;1990;all;N/A;median;538;34;5208;917;5.21;0.92
Movistar;Narino, Colombia;;Apr 2018;1412;947;all;N/A;median;383;46;5444;906;5.44;0.91
Movistar;North Santander, Colombia;;Apr 2018;5;2;all;N/A;median;2;74;1035;574;1.04;0.57
Movistar;Putumayo, Colombia;;Apr 2018;352;214;all;N/A;median;78;50;4845;951;4.85;0.95
Movistar;Quindio, Colombia;;Apr 2018;1322;868;all;N/A;median;277;42;4993;902;4.99;0.90
Movistar;Risaralda, Colombia;;Apr 2018;433;289;all;N/A;median;86;43;4311;935;4.31;0.94
Movistar;San Andrés and Providencia, Colombia;;Apr 2018;62;35;all;N/A;median;23;171;758;359;0.76;0.36
Movistar;Santander Department, Colombia;;Apr 2018;4481;2705;all;N/A;median;1162;38;9298;1209;9.30;1.21
Movistar;Sucre, Colombia;;Apr 2018;815;463;all;N/A;median;339;71;4104;744;4.10;0.74
Movistar;Tolima, Colombia;;Apr 2018;8629;5456;all;N/A;median;2863;34;5059;843;5.06;0.84
Movistar;Valle del Cauca, Colombia;;Apr 2018;19467;11510;all;N/A;median;5985;40;6160;866;6.16;0.87
Claro;Antioquia, Colombia;;Apr 2018;85410;41149;all;N/A;median;23024;40;10599;2465;10.60;2.47
Claro;Atlantico, Colombia;;Apr 2018;16358;8226;all;N/A;median;4162;16;10712;2455;10.71;2.46
Claro;Bogota, Colombia;;Apr 2018;251060;123484;all;N/A;median;68256;15;10568;2256;10.57;2.26
Claro;Bolivar, Colombia;;Apr 2018;5328;2513;all;N/A;median;1655;17;9952;2148;9.95;2.15
Claro;Boyaca, Colombia;;Apr 2018;7321;3754;all;N/A;median;2200;21;6596;1991;6.60;1.99
Claro;Caldas, Colombia;;Apr 2018;7113;3473;all;N/A;median;1913;40;9514;2120;9.51;2.12
Claro;Caquetá, Colombia;;Apr 2018;645;305;all;N/A;median;121;33;5384;2135;5.38;2.14
