place_name,aggregate_date,isp_name,total_samples,consistency_broadband,consistency_ultra_broadband
Armenia,2018-02-01T00:00:00Z,Claro,1013,0.0375123395853899,9.8716683119447e-4
Armenia,2018-02-01T00:00:00Z,ETB,2,0,0
Armenia,2018-03-01T00:00:00Z,ETB,2,0,0
Armenia,2018-03-01T00:00:00Z,Claro,1244,0.0409967845659164,8.0385852090032e-4
Armenia,2018-03-01T00:00:00Z,Tigo,1071,0.00933706816059757,9.3370681605975e-4
Armenia,2018-03-01T00:00:00Z,Movistar,213,0.0140845070422535,0.00469483568075117
Armenia,2018-03-01T00:00:00Z,All providers combined,2530,0.025296442687747,0.00118577075098814
Armenia,2018-04-01T00:00:00Z,All providers combined,2623,0.0289744567289363,0.00114372855508959
Armenia,2018-04-01T00:00:00Z,Claro,1223,0.0498773507767784,0.00163532297628781
Armenia,2018-04-01T00:00:00Z,ETB,4,0.25,0
Armenia,2018-04-01T00:00:00Z,Tigo,1228,0.00814332247557003,0
Armenia,2018-04-01T00:00:00Z,Movistar,168,0.0238095238095238,0.00595238095238095
Armenia,2018-05-01T00:00:00Z,Claro,1237,0.0525464834276475,0.00161681487469684
Armenia,2018-05-01T00:00:00Z,Tigo,1214,0.00247116968698517,0
Armenia,2018-05-01T00:00:00Z,Movistar,211,0.033175355450237,0.00947867298578199
Armenia,2018-05-01T00:00:00Z,ETB,2,0,0
Armenia,2018-05-01T00:00:00Z,All providers combined,2664,0.0281531531531532,0.0015015015015015
Armenia,2018-06-01T00:00:00Z,Claro,1411,0.0637845499645641,0.00212615166548547
Armenia,2018-06-01T00:00:00Z,All providers combined,2944,0.0356657608695652,0.00101902173913043
Armenia,2018-06-01T00:00:00Z,Movistar,204,0.0490196078431372,0
Armenia,2018-06-01T00:00:00Z,Tigo,1329,0.0037622272385252,0
Armenia,2018-07-01T00:00:00Z,Movistar,197,0.0304568527918782,0.0101522842639594
Armenia,2018-07-01T00:00:00Z,All providers combined,2709,0.0468807678110004,0.00147655961609449
Armenia,2018-07-01T00:00:00Z,Tigo,1098,0.00455373406193078,9.1074681238615e-4
Armenia,2018-07-01T00:00:00Z,ETB,1,0,0
Armenia,2018-07-01T00:00:00Z,Claro,1413,0.0820948336871904,7.0771408351026e-4
Armenia,2018-08-01T00:00:00Z,Tigo,1528,0.00589005235602094,0
Armenia,2018-08-01T00:00:00Z,Claro,1585,0.101577287066246,6.3091482649842e-4
Armenia,2018-08-01T00:00:00Z,ETB,6,0,0
Armenia,2018-08-01T00:00:00Z,All providers combined,3291,0.0528714676390155,6.0771801883925e-4
Armenia,2018-08-01T00:00:00Z,Movistar,172,0.0232558139534884,0.00581395348837209
Armenia,2018-09-01T00:00:00Z,Claro,1619,0.112415071031501,6.176652254478e-4
Armenia,2018-09-01T00:00:00Z,All providers combined,3242,0.0638494756323257,6.1690314620604e-4
Armenia,2018-09-01T00:00:00Z,Tigo,1438,0.0152990264255911,0
Armenia,2018-09-01T00:00:00Z,Movistar,176,0.0170454545454545,0.00568181818181818
Armenia,2018-09-01T00:00:00Z,ETB,9,0,0
Armenia,2018-10-01T00:00:00Z,ETB,2,0,0
Armenia,2018-10-01T00:00:00Z,Movistar,337,0.0267062314540059,0
Armenia,2018-10-01T00:00:00Z,Tigo,1358,0.0213549337260677,0.00220913107511045
Armenia,2018-10-01T00:00:00Z,Claro,1575,0.137777777777778,0.0038095238095238
Armenia,2018-10-01T00:00:00Z,All providers combined,3272,0.0779339853300733,0.00275061124694376
Armenia,2018-11-01T00:00:00Z,All providers combined,3219,0.0720720720720721,0.00528114321217769
Armenia,2018-11-01T00:00:00Z,Movistar,451,0.0332594235033259,0.0110864745011086
Armenia,2018-11-01T00:00:00Z,ETB,6,0,0
Armenia,2018-11-01T00:00:00Z,Claro,1436,0.135097493036212,0.00417827298050139
Armenia,2018-11-01T00:00:00Z,Tigo,1326,0.0173453996983409,0.00452488687782805
Armenia,2018-12-01T00:00:00Z,Movistar,430,0.0418604651162791,0.013953488372093
Armenia,2018-12-01T00:00:00Z,Tigo,1115,0.0197309417040359,0.00448430493273542
Armenia,2018-12-01T00:00:00Z,Claro,1296,0.117283950617284,0.00771604938271604
Armenia,2018-12-01T00:00:00Z,ETB,1,1,0
Armenia,2018-12-01T00:00:00Z,All providers combined,2842,0.0679099225897255,0.00738916256157635
Armenia,2019-01-01T00:00:00Z,ETB,6,0.333333333333333,0
Armenia,2019-01-01T00:00:00Z,Claro,1554,0.113899613899614,0.00128700128700128
Armenia,2019-01-01T00:00:00Z,Movistar,468,0.0341880341880342,0.0170940170940171
Armenia,2019-01-01T00:00:00Z,All providers combined,3396,0.0653710247349823,0.00471142520612485
Armenia,2019-01-01T00:00:00Z,Tigo,1368,0.0197368421052631,0.0043859649122807
Armenia,2019-02-01T00:00:00Z,Tigo,1195,0.0426778242677824,0.00502092050209205
Armenia,2019-02-01T00:00:00Z,Claro,1425,0.129122807017544,0.00701754385964912
Armenia,2019-02-01T00:00:00Z,All providers combined,3012,0.0836653386454183,0.00697211155378486
Armenia,2019-02-01T00:00:00Z,Movistar,383,0.0417754569190601,0.0130548302872063
Armenia,2019-02-01T00:00:00Z,ETB,9,0.111111111111111,0
Armenia,2019-03-01T00:00:00Z,Movistar,342,0.043859649122807,0.00584795321637426
Armenia,2019-03-01T00:00:00Z,Claro,1413,0.128096249115357,0.0092002830856334
Armenia,2019-03-01T00:00:00Z,All providers combined,2796,0.090486409155937,0.00965665236051502
Armenia,2019-03-01T00:00:00Z,ETB,4,0.25,0
Armenia,2019-03-01T00:00:00Z,Tigo,1037,0.0540019286403086,0.0115718418514947
Armenia,2019-04-01T00:00:00Z,Movistar,370,0.072972972972973,0.0351351351351351
Armenia,2019-04-01T00:00:00Z,Tigo,1195,0.0719665271966527,0.0158995815899582
Armenia,2019-04-01T00:00:00Z,ETB,6,0.166666666666667,0.166666666666667
Armenia,2019-04-01T00:00:00Z,All providers combined,3056,0.105039267015707,0.0137434554973822
Armenia,2019-04-01T00:00:00Z,Claro,1485,0.139393939393939,0.00606060606060606
Armenia,2019-05-01T00:00:00Z,Tigo,1196,0.072742474916388,0.0108695652173913
Armenia,2019-05-01T00:00:00Z,ETB,4,0,0
Armenia,2019-05-01T00:00:00Z,Claro,1494,0.182730923694779,0.00602409638554216
Armenia,2019-05-01T00:00:00Z,Movistar,442,0.0701357466063348,0.0113122171945701
Armenia,2019-05-01T00:00:00Z,All providers combined,3136,0.12468112244898,0.00860969387755102
Armenia,2019-06-01T00:00:00Z,ETB,3,0,0
Armenia,2019-06-01T00:00:00Z,Claro,1605,0.165109034267913,0.00249221183800623
Armenia,2019-06-01T00:00:00Z,All providers combined,3149,0.11368688472531,0.00539853921879961
