Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Guaviare, Colombia;;Aug 2020;473;96;all;N/A;mean;96;43;9415;4637;9.42;4.64
All Providers Combined;Amazonas, Colombia;;sep-20;11;7;all;N/A;mean;7;214;14091;8622;14.09;8.62
All Providers Combined;Antioquia, Colombia;;sep-20;430979;118194;all;N/A;mean;118194;30;36838;11615;36.84;11.62
All Providers Combined;Arauca, Colombia;;sep-20;1802;386;all;N/A;mean;386;71;8386;6696;8.39;6.70
All Providers Combined;Atlantico, Colombia;;sep-20;134819;36793;all;N/A;mean;36793;39;35651;20517;35.65;20.52
All Providers Combined;Bogota, Colombia;;sep-20;1050507;288536;all;N/A;mean;288536;22;44363;19861;44.36;19.86
All Providers Combined;Bolivar, Colombia;;sep-20;64800;16381;all;N/A;mean;16381;35;36223;23858;36.22;23.86
All Providers Combined;Boyaca, Colombia;;sep-20;46941;10795;all;N/A;mean;10795;34;24113;10536;24.11;10.54
All Providers Combined;Caldas, Colombia;;sep-20;56182;13107;all;N/A;mean;13107;32;30657;8072;30.66;8.07
All Providers Combined;Caquetá, Colombia;;sep-20;7297;1644;all;N/A;mean;1644;46;24841;11571;24.84;11.57
All Providers Combined;Casanare, Colombia;;sep-20;14871;3212;all;N/A;mean;3212;34;26403;7069;26.40;7.07
All Providers Combined;Cauca Department, Colombia;;sep-20;54730;12235;all;N/A;mean;12235;41;27001;12178;27.00;12.18
All Providers Combined;Cesar, Colombia;;sep-20;39454;8543;all;N/A;mean;8543;47;29559;16690;29.56;16.69
All Providers Combined;Choco, Colombia;;sep-20;1568;466;all;N/A;mean;466;83;12511;8324;12.51;8.32
All Providers Combined;Cordoba, Colombia;;sep-20;37387;9236;all;N/A;mean;9236;42;29209;18269;29.21;18.27
All Providers Combined;Cundinamarca, Colombia;;sep-20;190375;51757;all;N/A;mean;51757;28;36466;16965;36.47;16.97
All Providers Combined;Guainia, Colombia;;sep-20;10;5;all;N/A;mean;5;39;22532;4919;22.53;4.92
All Providers Combined;Huila, Colombia;;sep-20;48093;12905;all;N/A;mean;12905;42;25668;15357;25.67;15.36
All Providers Combined;La Guajira, Colombia;;sep-20;8378;2064;all;N/A;mean;2064;54;25364;7892;25.36;7.89
All Providers Combined;Magdalena, Colombia;;sep-20;58555;16142;all;N/A;mean;16142;38;35161;13684;35.16;13.68
All Providers Combined;Meta, Colombia;;sep-20;40290;9851;all;N/A;mean;9851;29;32007;14650;32.01;14.65
All Providers Combined;Narino, Colombia;;sep-20;37626;9328;all;N/A;mean;9328;46;25271;12314;25.27;12.31
All Providers Combined;North Santander, Colombia;;sep-20;60748;16440;all;N/A;mean;16440;52;36190;25718;36.19;25.72
All Providers Combined;Putumayo, Colombia;;sep-20;3561;775;all;N/A;mean;775;53;11833;11216;11.83;11.22
