Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Cauca Department, Colombia;;Apr 2022;1687;502;N/A;cellular;median;502;46;70.15;145.566;9798;7463;9.80;7.46
All Providers Combined;Cesar, Colombia;;Apr 2022;1622;523;N/A;cellular;median;523;42;906.698;152.596;11197;8567;11.20;8.57
All Providers Combined;Choco, Colombia;;Apr 2022;938;140;N/A;cellular;median;140;62;953.595;298.576;4601;4500;4.60;4.50
All Providers Combined;Cordoba, Colombia;;Apr 2022;1704;527;N/A;cellular;median;527;50;888.665;136.365;13073;8713;13.07;8.71
All Providers Combined;Cundinamarca, Colombia;;Apr 2022;9302;3582;N/A;cellular;median;3582;31;505.851;160.893;8068;6424;8.07;6.42
All Providers Combined;Guainia, Colombia;;Apr 2022;29;11;N/A;cellular;median;11;200;5.694.705;2.006.741;435;2615;0.44;2.62
All Providers Combined;Huila, Colombia;;Apr 2022;1769;554;N/A;cellular;median;554;42;696.505;217.385;10671;6872;10.67;6.87
All Providers Combined;La Guajira, Colombia;;Apr 2022;893;287;N/A;cellular;median;287;46;1.149.276;208.784;8654;8027;8.65;8.03
All Providers Combined;Magdalena, Colombia;;Apr 2022;2282;722;N/A;cellular;median;722;39;882.878;153.541;11875;9921;11.88;9.92
All Providers Combined;Meta, Colombia;;Apr 2022;2557;833;N/A;cellular;median;833;38;612.345;168.856;9802;7870;9.80;7.87
All Providers Combined;Narino, Colombia;;Apr 2022;1790;468;N/A;cellular;median;468;51;793.646;188.188;9896;9416;9.90;9.42
All Providers Combined;North Santander, Colombia;;Apr 2022;2638;859;N/A;cellular;median;859;48;810.922;160.077;10116;7959;10.12;7.96
All Providers Combined;Putumayo, Colombia;;Apr 2022;546;124;N/A;cellular;median;124;50;905.321;295.719;6663;6658;6.66;6.66
All Providers Combined;Quindio, Colombia;;Apr 2022;1577;508;N/A;cellular;median;508;47;689.753;112.937;12010;8827;12.01;8.83
All Providers Combined;Risaralda, Colombia;;Apr 2022;2229;723;N/A;cellular;median;723;47;698.703;134.531;12033;8278;12.03;8.28
All Providers Combined;San Andrés and Providencia, Colombia;;Apr 2022;1065;254;N/A;cellular;median;254;70;1.556.592;169.742;10829;7423;10.83;7.42
All Providers Combined;Santander Department, Colombia;;Apr 2022;6931;1960;N/A;cellular;median;1960;49;954.927;206.645;11198;8234;11.20;8.23
