Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;mar-23;43041;13640;all;N/A;median;13640;18;91894;33003;91.89;33.00
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;mar-23;4077;1248;all;N/A;median;1248;15;68346;23692;68.35;23.69
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;mar-23;23311;6689;all;N/A;median;6689;10;94287;44097;94.29;44.10
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;mar-23;123915;37771;all;N/A;median;37771;18;89160;32965;89.16;32.97
All Providers Combined;Mitú, Mitú, Vaupes, Colombia;;mar-23;77;18;all;N/A;median;18;31;79454;21987;79.45;21.99
All Providers Combined;Puerto Carreño, Puerto Carreño, Vichada, Colombia;;mar-23;97;16;all;N/A;median;16;96;19510;6718;19.51;6.72
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;Apr 2023;9286;3026;all;N/A;median;3026;20;123413;32840;123.41;32.84
All Providers Combined;Leticia, Leticia, Amazonas, Colombia;;Apr 2023;507;92;all;N/A;median;92;207;8049;3994;8.05;3.99
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Apr 2023;194759;61653;all;N/A;median;61653;10;100529;31418;100.53;31.42
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;Apr 2023;911;372;all;N/A;median;372;6;18964;5119;18.96;5.12
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Apr 2023;62960;19889;all;N/A;median;19889;10;92363;33008;92.36;33.01
All Providers Combined;Bogotá, Bogota, Colombia;;Apr 2023;720388;223376;all;N/A;median;223376;7;107944;44883;107.94;44.88
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Apr 2023;22729;6604;all;N/A;median;6604;8;112467;47535;112.47;47.54
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Apr 2023;10986;3273;all;N/A;median;3273;15;81407;30324;81.41;30.32
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Apr 2023;19203;5786;all;N/A;median;5786;28;93635;20676;93.64;20.68
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;Apr 2023;1945;500;all;N/A;median;500;24;61338;32560;61.34;32.56
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;Apr 2023;2493;786;all;N/A;median;786;14;42563;27806;42.56;27.81
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;Apr 2023;13881;4206;all;N/A;median;4206;19;66284;30130;66.28;30.13
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;Apr 2023;10791;3556;all;N/A;median;3556;19;90667;30630;90.67;30.63
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;Apr 2023;505;97;all;N/A;median;97;32;9825;5726;9.83;5.73
All Providers Combined;Montería, Montería, Córdoba, Colombia;;Apr 2023;9358;3048;all;N/A;median;3048;14;65362;28632;65.36;28.63
All Providers Combined;Inírida, Inírida, Guainía, Colombia;;Apr 2023;287;41;all;N/A;median;41;76;33675;15781;33.68;15.78
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;Apr 2023;428;105;all;N/A;median;105;14;9977;10016;9.98;10.02
