Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps;Multi-Server Latency;Multi-Server Jitter,
ETB;Bolivar, Colombia;;feb-18;4.0;4.0;all;;median;4.0;37.0;2032.0;1667.0;2.03;1.67;;
ETB;Boyaca, Colombia;;feb-18;120.0;71.0;all;;median;54.0;19.0;8868.0;8515.0;8.87;8.52;;
ETB;Caldas, Colombia;;feb-18;2.0;2.0;all;;median;2.0;58.0;2802.0;3752.0;2.8;3.75;;
ETB;Cauca Department, Colombia;;feb-18;2.0;2.0;all;;median;2.0;49.0;7861.0;5602.0;7.86;5.6;;
ETB;Cesar, Colombia;;feb-18;32.0;18.0;all;;median;10.0;51.0;1772.0;1557.0;1.77;1.56;;
ETB;Cordoba, Colombia;;feb-18;91.0;31.0;all;;median;9.0;38.0;7466.0;9574.0;7.47;9.57;;
ETB;Cundinamarca, Colombia;;feb-18;14245.0;7659.0;all;;median;5241.0;16.0;10287.0;5760.0;10.29;5.76;;
ETB;Huila, Colombia;;feb-18;208.0;70.0;all;;median;38.0;39.0;3986.0;2297.0;3.99;2.3;;
ETB;La Guajira, Colombia;;feb-18;3.0;3.0;all;;median;3.0;42.0;4463.0;2964.0;4.46;2.96;;
ETB;Magdalena, Colombia;;feb-18;32.0;23.0;all;;median;16.0;40.0;2968.0;2581.0;2.97;2.58;;
ETB;Meta, Colombia;;feb-18;2304.0;1212.0;all;;median;521.0;34.0;4152.0;1027.0;4.15;1.03;;
ETB;Narino, Colombia;;feb-18;5.0;5.0;all;;median;5.0;22.0;41424.0;40216.0;41.42;40.22;;
ETB;Quindio, Colombia;;feb-18;15.0;9.0;all;;median;5.0;76.0;3774.0;4875.0;3.77;4.88;;
ETB;Risaralda, Colombia;;feb-18;183.0;91.0;all;;median;44.0;47.0;2480.0;2881.0;2.48;2.88;;
ETB;Santander Department, Colombia;;feb-18;917.0;416.0;all;;median;229.0;24.0;3298.0;1036.0;3.3;1.04;;
ETB;Tolima, Colombia;;feb-18;70.0;56.0;all;;median;42.0;17.0;18460.0;14604.0;18.46;14.6;;
ETB;Valle del Cauca, Colombia;;feb-18;112.0;61.0;all;;median;38.0;60.0;1882.0;1897.0;1.88;1.9;;
ETB;Guaviare, Colombia;;feb-18;4.0;4.0;all;;median;2.0;15.0;26761.0;27360.0;26.76;27.36;;
Movistar;Antioquia, Colombia;;mar-18;1152.0;715.0;all;;median;617.0;42.0;5188.0;892.0;5.19;0.89;;
