Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Caldas, Colombia",,jun-21,1967,681,N/A,cellular,mean,681,54,16930,9470,16.93,9.47
All Providers Combined,"Caquetá, Colombia",,jun-21,797,159,N/A,cellular,mean,159,88,9893,6870,9.89,6.87
All Providers Combined,"Casanare, Colombia",,jun-21,1036,296,N/A,cellular,mean,296,62,12607,8944,12.61,8.94
All Providers Combined,"Cauca Department, Colombia",,jun-21,1384,421,N/A,cellular,mean,421,60,16542,9769,16.54,9.77
All Providers Combined,"Cesar, Colombia",,jun-21,2184,589,N/A,cellular,mean,589,60,15972,8766,15.97,8.77
All Providers Combined,"Choco, Colombia",,jun-21,445,114,N/A,cellular,mean,114,90,13401,7573,13.4,7.57
All Providers Combined,"Cordoba, Colombia",,jun-21,1872,578,N/A,cellular,mean,578,60,18254,9442,18.25,9.44
All Providers Combined,"Cundinamarca, Colombia",,jun-21,10198,3690,N/A,cellular,mean,3690,54,13892,8303,13.89,8.3
All Providers Combined,"Guainia, Colombia",,jun-21,45,15,N/A,cellular,mean,15,114,1865,5271,1.87,5.27
All Providers Combined,"Huila, Colombia",,jun-21,2733,518,N/A,cellular,mean,518,66,15667,9215,15.67,9.22
All Providers Combined,"La Guajira, Colombia",,jun-21,1875,338,N/A,cellular,mean,338,66,15742,10911,15.74,10.91
All Providers Combined,"Magdalena, Colombia",,jun-21,2753,803,N/A,cellular,mean,803,52,18180,9839,18.18,9.84
All Providers Combined,"Meta, Colombia",,jun-21,1885,748,N/A,cellular,mean,748,56,13709,8856,13.71,8.86
All Providers Combined,"Narino, Colombia",,jun-21,1343,369,N/A,cellular,mean,369,61,17110,10409,17.11,10.41
All Providers Combined,"North Santander, Colombia",,jun-21,4211,858,N/A,cellular,mean,858,65,14364,8558,14.36,8.56
All Providers Combined,"Putumayo, Colombia",,jun-21,669,87,N/A,cellular,mean,87,117,8636,7650,8.64,7.65
All Providers Combined,"Quindio, Colombia",,jun-21,1422,495,N/A,cellular,mean,495,57,18576,10697,18.58,10.7
All Providers Combined,"Risaralda, Colombia",,jun-21,2031,678,N/A,cellular,mean,678,51,16914,8262,16.91,8.26
