Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Colombia;;nov-21;119885;33534;N/A;lte;mean;33534;46;19279;11340;19.28;11.34
All Providers Combined;Colombia;;nov-21;145098;39912;N/A;cellular;mean;39912;48;19428;10845;19.43;10.85
All Providers Combined;Colombia;;Dec 2021;9368;3814;N/A;3g;mean;3814;69;3397;840;3.4;0.84
All Providers Combined;Colombia;;Dec 2021;108199;32388;N/A;lte;mean;32388;46;19784;11519;19.78;11.52
All Providers Combined;Colombia;;Dec 2021;133197;39492;N/A;cellular;mean;39492;47;20014;11026;20.01;11.03
All Providers Combined;Colombia;;Jan 2022;125894;40030;N/A;cellular;mean;40030;50;19627;11090;19.63;11.09
All Providers Combined;Colombia;;Jan 2022;8592;3618;N/A;3g;mean;3618;77;3482;855;3.48;0.86
All Providers Combined;Colombia;;Jan 2022;101758;32554;N/A;lte;mean;32554;49;19133;11593;19.13;11.59
All Providers Combined;Colombia;;feb-22;127721;39966;N/A;cellular;mean;39966;49;19570;11208;19.57;11.21
All Providers Combined;Colombia;;feb-22;9328;3443;N/A;3g;mean;3443;74;3435;875;3.44;0.88
All Providers Combined;Colombia;;feb-22;99718;32360;N/A;lte;mean;32360;48;19060;11687;19.06;11.69
All Providers Combined;Colombia;;mar-22;140797;42780;N/A;cellular;mean;42780;54;18734;11043;18.73;11.04
All Providers Combined;Colombia;;mar-22;10486;3834;N/A;3g;mean;3834;77;3304;848;3.30;0.85
All Providers Combined;Colombia;;mar-22;107592;34051;N/A;lte;mean;34051;52;18028;11487;18.03;11.49
All Providers Combined;Colombia;;Apr 2022;138846;42703;N/A;cellular;mean;42703;49;18025;10924;18.03;10.92
All Providers Combined;Colombia;;Apr 2022;9617;3787;N/A;3g;mean;3787;72;2945;812;2.95;0.81
All Providers Combined;Colombia;;Apr 2022;103319;33304;N/A;lte;mean;33304;48;17196;11289;17.20;11.29
All Providers Combined;Colombia;;may-22;134900;41308;N/A;cellular;mean;41308;47;18326;11074;18.33;11.07
All Providers Combined;Colombia;;may-22;8757;3421;N/A;3g;mean;3421;69;3092;817;3.09;0.82
All Providers Combined;Colombia;;may-22;100412;31884;N/A;lte;mean;31884;46;17026;11315;17.03;11.32
All Providers Combined;Colombia;;jun-22;118208;36991;N/A;cellular;mean;36991;47;18120;11329;18.12;11.33
All Providers Combined;Colombia;;jun-22;8406;3105;N/A;3g;mean;3105;68;3064;812;3.06;0.81
All Providers Combined;Colombia;;jun-22;85566;28019;N/A;lte;mean;28019;46;16975;11665;16.98;11.67
All Providers Combined;Colombia;;jul-22;118121;37687;N/A;cellular;mean;37687;45;18060;11483;18.06;11.48
All Providers Combined;Colombia;;jul-22;7459;2887;N/A;3g;mean;2887;65;2999;819;3.00;0.82
All Providers Combined;Colombia;;jul-22;84783;28037;N/A;lte;mean;28037;44;16558;11717;16.56;11.72
All Providers Combined;Colombia;;Aug 2022;123827;37727;N/A;cellular;mean;37727;46;17437;11294;17.44;11.29
All Providers Combined;Colombia;;Aug 2022;6681;2654;N/A;3g;mean;2654;64;3116;823;3.12;0.82
All Providers Combined;Colombia;;Aug 2022;88634;27871;N/A;lte;mean;27871;46;15984;11457;15.98;11.46
All Providers Combined;Colombia;;sep-22;126221;37114;N/A;cellular;mean;37114;44;17994;11363;17.99;11.36
All Providers Combined;Colombia;;sep-22;6367;2489;N/A;3g;mean;2489;64;3113;809;3.11;0.81
All Providers Combined;Colombia;;sep-22;88066;26991;N/A;lte;mean;26991;43;16315;11445;16.32;11.45
All Providers Combined;Colombia;;oct-22;123913;37443;N/A;cellular;mean;37443;46;17420;11185;17.42;11.19
All Providers Combined;Colombia;;oct-22;5203;2379;N/A;3g;mean;2379;65;2972;781;2.97;0.78
All Providers Combined;Colombia;;oct-22;85974;26896;N/A;lte;mean;26896;45;15818;11276;15.82;11.28
All Providers Combined;Colombia;;nov-22;118262;35375;N/A;cellular;mean;35375;45;17429;11223;17.43;11.22
All Providers Combined;Colombia;;nov-22;5226;2107;N/A;3g;mean;2107;63;3096;794;3.10;0.79
All Providers Combined;Colombia;;nov-22;79751;25090;N/A;lte;mean;25090;44;15544;11229;15.54;11.23
All Providers Combined;Colombia;;Dec 2022;106579;33905;N/A;cellular;mean;33905;44;18844;11629;18.84;11.63
All Providers Combined;Colombia;;Dec 2022;4449;1959;N/A;3g;mean;1959;65;3199;793;3.20;0.79
All Providers Combined;Colombia;;Dec 2022;70534;23376;N/A;lte;mean;23376;43;17024;11699;17.02;11.70
