Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;sep-18;27823;15331;all;N/A;median;8069;15;10720;2367;10.72;2.37
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;sep-18;16992;9175;all;N/A;median;4406;14;9958;2085;9.96;2.09
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;sep-18;10718;6237;all;N/A;median;2408;21;9760;2147;9.76;2.15
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;sep-18;23763;11990;all;N/A;median;6200;29;10228;2161;10.23;2.16
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;sep-18;14286;7962;all;N/A;median;4241;33;10417;2123;10.42;2.12
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;sep-18;8658;4718;all;N/A;median;2314;20;9735;2109;9.74;2.11
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;oct-18;30408;16861;all;N/A;median;8471;33;10557;2288;10.56;2.29
All Providers Combined;Bogotá, Bogota, Colombia;;oct-18;496867;267819;all;N/A;median;136004;15;10742;2657;10.74;2.66
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;oct-18;117289;63292;all;N/A;median;29290;45;10147;2181;10.15;2.18
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;oct-18;169208;89718;all;N/A;median;48277;24;10306;2163;10.31;2.16
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;oct-18;33860;18494;all;N/A;median;9997;16;10716;2369;10.72;2.37
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;oct-18;18521;10100;all;N/A;median;5004;14;10244;2162;10.24;2.16
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;oct-18;12415;6966;all;N/A;median;2754;21;9807;2179;9.81;2.18
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;oct-18;21420;12746;all;N/A;median;5874;28;8349;1605;8.35;1.61
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;oct-18;13916;7826;all;N/A;median;3473;37;10449;2208;10.45;2.21
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;oct-18;7696;4162;all;N/A;median;2075;21;9121;2070;9.12;2.07
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;nov-18;30193;16458;all;N/A;median;8190;35;10501;2350;10.50;2.35
All Providers Combined;Bogotá, Bogota, Colombia;;nov-18;430694;235771;all;N/A;median;118356;15;10740;2733;10.74;2.73
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;nov-18;106657;59108;all;N/A;median;27501;45;10119;2176;10.12;2.18
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;nov-18;170349;90489;all;N/A;median;49124;25;10121;2134;10.12;2.13
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;nov-18;37961;20076;all;N/A;median;10895;17;10825;2393;10.83;2.39
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;nov-18;17338;9580;all;N/A;median;4523;15;10246;2171;10.25;2.17
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;nov-18;12445;7383;all;N/A;median;3019;19;10244;2208;10.24;2.21
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;nov-18;23247;13969;all;N/A;median;6196;32;7376;1221;7.38;1.22
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;nov-18;12988;7570;all;N/A;median;3211;37;10458;2230;10.46;2.23
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;nov-18;6536;3632;all;N/A;median;1923;21;9557;2044;9.56;2.04
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;Dec 2018;25771;14612;all;N/A;median;7588;33;10626;2373;10.63;2.37
All Providers Combined;Bogotá, Bogota, Colombia;;Dec 2018;345205;192553;all;N/A;median;97180;15;10741;2889;10.74;2.89
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Dec 2018;94326;53177;all;N/A;median;25089;43;10169;2194;10.17;2.19
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Dec 2018;129904;70223;all;N/A;median;38891;24;10401;2198;10.40;2.20
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Dec 2018;33012;17774;all;N/A;median;9767;17;10758;2427;10.76;2.43
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Dec 2018;18844;10158;all;N/A;median;5106;16;10263;2162;10.26;2.16
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;Dec 2018;12077;7048;all;N/A;median;2954;19;10336;2263;10.34;2.26
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;Dec 2018;20004;12500;all;N/A;median;5555;33;7136;1236;7.14;1.24
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Dec 2018;11195;6456;all;N/A;median;2903;38;10465;2244;10.47;2.24
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Dec 2018;5398;3042;all;N/A;median;1602;22;9490;2050;9.49;2.05
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;Jan 2019;32119;18176;all;N/A;median;9462;34;10663;2382;10.66;2.38
All Providers Combined;Bogotá, Bogota, Colombia;;Jan 2019;490358;264425;all;N/A;median;133525;16;10751;2925;10.75;2.93
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Jan 2019;118965;65271;all;N/A;median;30930;44;10359;2240;10.36;2.24
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Jan 2019;181223;95588;all;N/A;median;52190;21;10540;2287;10.54;2.29
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Jan 2019;66109;37879;all;N/A;median;18918;33;10586;2219;10.59;2.22
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Jan 2019;36100;20265;all;N/A;median;9060;26;10118;2115;10.12;2.12
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;Jan 2019;13533;7903;all;N/A;median;3214;20;9947;2192;9.95;2.19
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;Jan 2019;25595;15327;all;N/A;median;6502;32;7190;1222;7.19;1.22
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Jan 2019;15901;8743;all;N/A;median;4117;36;10428;2215;10.43;2.22
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Jan 2019;7727;4360;all;N/A;median;2172;22;9342;2024;9.34;2.02
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;feb-19;38518;20296;all;N/A;median;10624;35;10511;2390;10.51;2.39
All Providers Combined;Bogotá, Bogota, Colombia;;feb-19;506595;273979;all;N/A;median;136508;15;11872;3350;11.87;3.35
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;feb-19;104301;58441;all;N/A;median;27988;42;10492;2329;10.49;2.33
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;feb-19;185158;99295;all;N/A;median;56643;23;10600;2389;10.60;2.39
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;feb-19;59419;34579;all;N/A;median;17902;35;10659;2353;10.66;2.35
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;feb-19;31150;17742;all;N/A;median;7802;22;10311;2195;10.31;2.20
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;feb-19;13047;7788;all;N/A;median;3179;19;10376;2261;10.38;2.26
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;feb-19;24615;14744;all;N/A;median;6190;32;8866;1800;8.87;1.80
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;feb-19;15443;8516;all;N/A;median;4134;34;10495;2256;10.50;2.26
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;feb-19;7678;4379;all;N/A;median;2273;22;9968;2096;9.97;2.10
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;mar-19;29819;17572;all;N/A;median;9217;34;10705;2573;10.71;2.57
All Providers Combined;Bogotá, Bogota, Colombia;;mar-19;477573;263456;all;N/A;median;131382;16;11167;3261;11.17;3.26
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;mar-19;106950;61459;all;N/A;median;28539;42;10535;2376;10.54;2.38
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;mar-19;188165;100226;all;N/A;median;56362;25;10592;2467;10.59;2.47
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;mar-19;62038;36313;all;N/A;median;18219;33;10614;2353;10.61;2.35
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;mar-19;30191;17070;all;N/A;median;7258;24;10375;2278;10.38;2.28
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;mar-19;13064;7897;all;N/A;median;3265;19;10450;2322;10.45;2.32
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;mar-19;24346;15310;all;N/A;median;6446;32;8901;1815;8.90;1.82
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;mar-19;16061;8655;all;N/A;median;4100;32;10520;2313;10.52;2.31
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;mar-19;7387;4174;all;N/A;median;2062;22;9900;2086;9.90;2.09
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;Apr 2019;27423;16203;all;N/A;median;8660;33;10736;2772;10.74;2.77
All Providers Combined;Bogotá, Bogota, Colombia;;Apr 2019;464614;255926;all;N/A;median;129241;22;11550;3315;11.55;3.32
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;Apr 2019;109062;61022;all;N/A;median;28874;41;10545;2407;10.55;2.41
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Apr 2019;190322;100677;all;N/A;median;56996;27;10592;2527;10.59;2.53
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Apr 2019;62882;35295;all;N/A;median;17786;33;10728;2531;10.73;2.53
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Apr 2019;27071;15846;all;N/A;median;6999;24;10430;2328;10.43;2.33
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;Apr 2019;12444;7432;all;N/A;median;3007;19;10496;2346;10.50;2.35
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;Apr 2019;21942;14015;all;N/A;median;6124;31;9127;1979;9.13;1.98
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;Apr 2019;13338;7787;all;N/A;median;3893;32;10641;2403;10.64;2.40
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;Apr 2019;8011;4261;all;N/A;median;2144;21;10234;2184;10.23;2.18
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;may-19;31963;18121;all;N/A;median;9443;32;10883;3216;10.88;3.22
All Providers Combined;Bogotá, Bogota, Colombia;;may-19;510362;279185;all;N/A;median;137823;23;12506;3592;12.51;3.59
