Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Manizales, Manizales, Caldas, Colombia",,jun-20,752,347,N/A,cellular,mean,347,44,24445,11334,24.45,11.33
All Providers Combined,"Ibagué, Ibague, Tolima, Colombia",,jun-20,929,362,N/A,cellular,mean,362,39,22555,8729,22.56,8.73
All Providers Combined,"Armenia, Armenia, Quindio, Colombia",,jun-20,461,197,N/A,cellular,mean,197,52,21579,11168,21.58,11.17
All Providers Combined,"Popayán, Popayán, Cauca, Colombia",,jun-20,440,189,N/A,cellular,mean,189,48,24373,12391,24.37,12.39
All Providers Combined,"Cartagena, Cartagena, Bolívar, Colombia",,jun-20,1534,611,N/A,cellular,mean,611,52,20746,10116,20.75,10.12
All Providers Combined,"Pasto, Pasto, Narino, Colombia",,jun-20,960,198,N/A,cellular,mean,198,50,21385,13042,21.39,13.04
All Providers Combined,"Barranquilla, Barranquilla, Atlantico, Colombia",,jun-20,5129,2013,N/A,cellular,mean,2013,48,21574,10253,21.57,10.25
All Providers Combined,"Santa Marta, Santa Marta, Magdalena, Colombia",,jun-20,783,220,N/A,cellular,mean,220,50,23435,10857,23.44,10.86
All Providers Combined,"Villavicencio, Villavicencio, Meta, Colombia",,jun-20,1086,481,N/A,cellular,mean,481,34,22280,10423,22.28,10.42
All Providers Combined,"Pereira, Pereira, Risaralda, Colombia",,jun-20,706,335,N/A,cellular,mean,335,51,21837,8490,21.84,8.49
All Providers Combined,"Medellín, Medellin, Antioquia, Colombia",,jun-20,7955,3813,N/A,cellular,mean,3813,45,21659,9729,21.66,9.73
All Providers Combined,"Montería, Montería, Córdoba, Colombia",,jun-20,450,180,N/A,cellular,mean,180,58,20274,10374,20.27,10.37
All Providers Combined,"Sincelejo, Sincelejo, Sucre, Colombia",,jun-20,200,107,N/A,cellular,mean,107,70,21982,9931,21.98,9.93
